"Broad_Category","Archive_Date","District","sum"
"Special Education - Resource/Life Skills","2026-08-06","Missoula County Public Schools",1
"Art","2026-08-07","Total",1
"CTE - Business & Family Sciences","2026-08-07","Total",3
"CTE - Trades, Ag & Technical","2026-08-07","Total",20
"Elementary","2026-08-07","Total",5
"English Language Arts Secondary","2026-08-07","Total",14
"Language","2026-08-07","Total",1
"Library Media","2026-08-07","Total",13
"Math","2026-08-07","Total",28
"Music","2026-08-07","Total",2
"Other","2026-08-07","Total",11
"Physical Education","2026-08-07","Total",1
"Science","2026-08-07","Total",17
"Secondary Social Studies","2026-08-07","Total",2
"Special Education - General","2026-08-07","Total",15
"Special Education - Resource/Life Skills","2026-08-07","Total",1
"Art","2026-08-07","Lockwood Schools",1
"CTE - Business & Family Sciences","2026-08-07","Forsyth",1
"CTE - Business & Family Sciences","2026-08-07","Ronan",1
"CTE - Business & Family Sciences","2026-08-07","Shepherd",1
"CTE - Trades, Ag & Technical","2026-08-07","Absarokee",1
"CTE - Trades, Ag & Technical","2026-08-07","Billings Public Schools",1
"CTE - Trades, Ag & Technical","2026-08-07","Broadus",1
"CTE - Trades, Ag & Technical","2026-08-07","Choteau",1
"CTE - Trades, Ag & Technical","2026-08-07","Drummond",1
"CTE - Trades, Ag & Technical","2026-08-07","FAIRVIEW",1
"CTE - Trades, Ag & Technical","2026-08-07","Fromberg",1
"CTE - Trades, Ag & Technical","2026-08-07","Gardiner",1
"CTE - Trades, Ag & Technical","2026-08-07","Hays",1
"CTE - Trades, Ag & Technical","2026-08-07","Hot Springs",1
"CTE - Trades, Ag & Technical","2026-08-07","Jordan",1
"CTE - Trades, Ag & Technical","2026-08-07","Lame Deer",1
"CTE - Trades, Ag & Technical","2026-08-07","Miles City MT",1
"CTE - Trades, Ag & Technical","2026-08-07","Plentywood, MT",1
"CTE - Trades, Ag & Technical","2026-08-07","Poplar",1
"CTE - Trades, Ag & Technical","2026-08-07","Rocky Boy",1
"CTE - Trades, Ag & Technical","2026-08-07","Rudyard/Gildford",1
"CTE - Trades, Ag & Technical","2026-08-07","Scobey",1
"CTE - Trades, Ag & Technical","2026-08-07","Sheridan, MT",1
"CTE - Trades, Ag & Technical","2026-08-07","Wibaux",1
"Elementary","2026-08-07","Billings Public Schools",1
"Elementary","2026-08-07","Great Falls Public Schools",4
"English Language Arts Secondary","2026-08-07","Big Sandy",1
"English Language Arts Secondary","2026-08-07","Box Elder",1
"English Language Arts Secondary","2026-08-07","Browning, MT",1
"English Language Arts Secondary","2026-08-07","Chinook",1
"English Language Arts Secondary","2026-08-07","Fromberg",1
"English Language Arts Secondary","2026-08-07","Geyser",1
"English Language Arts Secondary","2026-08-07","Havre Public Schools",2
"English Language Arts Secondary","2026-08-07","Lima",1
"English Language Arts Secondary","2026-08-07","Lockwood Schools",1
"English Language Arts Secondary","2026-08-07","MELSTONE",1
"English Language Arts Secondary","2026-08-07","Plentywood, MT",1
"English Language Arts Secondary","2026-08-07","Roy, Montana",1
"English Language Arts Secondary","2026-08-07","Wolf Point",1
"Language","2026-08-07","East Helena Public Schools",1
"Library Media","2026-08-07","841 Bear Canyon Road",1
"Library Media","2026-08-07","BUSBY",1
"Library Media","2026-08-07","Broadview",1
"Library Media","2026-08-07","Canyon Creek and Wolf Creek",1
"Library Media","2026-08-07","Drummond",1
"Library Media","2026-08-07","Helena Public Schools",1
"Library Media","2026-08-07","Hot Springs",1
"Library Media","2026-08-07","Kalispell Public Schools",1
"Library Media","2026-08-07","Nashua",1
"Library Media","2026-08-07","Power",1
"Library Media","2026-08-07","Thompson Falls",1
"Library Media","2026-08-07","Wilsall",1
"Library Media","2026-08-07","Wolf Point",1
"Math","2026-08-07","Arlee",1
"Math","2026-08-07","Ashland",1
"Math","2026-08-07","Billings Public Schools",2
"Math","2026-08-07","Boulder",1
"Math","2026-08-07","Box Elder",1
"Math","2026-08-07","Browning",1
"Math","2026-08-07","Cascade",1
"Math","2026-08-07","Chester Montana",1
"Math","2026-08-07","East Helena Public Schools",2
"Math","2026-08-07","Fairview",1
"Math","2026-08-07","Great Falls Public Schools",1
"Math","2026-08-07","Havre Public Schools",1
"Math","2026-08-07","Highwood",1
"Math","2026-08-07","Hysham",1
"Math","2026-08-07","Lame Deer, MT",1
"Math","2026-08-07","Libby",1
"Math","2026-08-07","Lima",1
"Math","2026-08-07","Livingston",1
"Math","2026-08-07","Lockwood Schools",1
"Math","2026-08-07","Lodge Grass, Montana",1
"Math","2026-08-07","Manhattan",1
"Math","2026-08-07","Miles City, MT",1
"Math","2026-08-07","Plentywood, MT",1
"Math","2026-08-07","Plevna, Montana",1
"Math","2026-08-07","Scobey",1
"Math","2026-08-07","Sheridan, MT",1
"Music","2026-08-07","Great Falls Public Schools",1
"Music","2026-08-07","Missoula County Public Schools",1
"Other","2026-08-07","Billings Public Schools",1
"Other","2026-08-07","East Helena Public Schools",2
"Other","2026-08-07","Great Falls Public Schools",3
"Other","2026-08-07","Havre Public Schools",1
"Other","2026-08-07","Helena Public Schools",1
"Other","2026-08-07","Kalispell Public Schools",2
"Other","2026-08-07","Whitefish School District",1
"Physical Education","2026-08-07","Kalispell Public Schools",1
"Science","2026-08-07","Billings Public Schools",1
"Science","2026-08-07","Cascade",1
"Science","2026-08-07","East Helena Public Schools",1
"Science","2026-08-07","Fairview",1
"Science","2026-08-07","Gallatin Gateway",1
"Science","2026-08-07","Great Falls Public Schools",2
"Science","2026-08-07","Harrison",1
"Science","2026-08-07","Lame Deer, MT",1
"Science","2026-08-07","Plentywood, MT",1
"Science","2026-08-07","Plevna, Montana",1
"Science","2026-08-07","Ronan",1
"Science","2026-08-07","Scobey",1
"Science","2026-08-07","Shepherd",1
"Science","2026-08-07","Westby",1
"Science","2026-08-07","Whitewater",1
"Science","2026-08-07","Wolf Point",1
"Secondary Social Studies","2026-08-07","Billings Public Schools",1
"Secondary Social Studies","2026-08-07","Kalispell Public Schools",1
"Special Education - General","2026-08-07","Billings Public Schools",2
"Special Education - General","2026-08-07","Great Falls Public Schools",5
"Special Education - General","2026-08-07","Hardin Public Schools",1
"Special Education - General","2026-08-07","Havre Public Schools",1
"Special Education - General","2026-08-07","Helena Public Schools",1
"Special Education - General","2026-08-07","Laurel Public Schools",2
"Special Education - General","2026-08-07","Lockwood Schools",1
"Special Education - General","2026-08-07","Whitefish School District",2
"Special Education - Resource/Life Skills","2026-08-07","Missoula County Public Schools",1
